2011-03-10,Michael K. Williams,JJiL6ps8hZQ,false,null,493 515 504 541 336 543,,
2011-04-19,Bill Hader,348qOuXOAXo,false,null,4 539 17 375 144 542,,
2011-04-18,Guy Maddin,TowINv3Oq8E,false,31,98 59 360 363 377 389 404 407 539 93 409 536 440,578,Guy mentions <cite>L&apos;Atalante</cite>&comma; which can be found on the <cite>The Complete Jean Vigo</cite>.
2011-09-12,Robert Downey Sr.,ZHBVH6ut2k8,false,46,140 545 414,250,Robert is holding <a href=\"criterion.com/boxsets/769\">America Lost and Found: The BBS Story</a> while talking about an interaction with Jack Nicholson. <cite>Easy Rider</cite> is marked here&comma; as the box set doesn&apos;t have a spine number.
2011-10-05,Adrian Utley,ZqNSY5xz_r8,false,null,162 62 535 56,542,
2011-11-03,Andr&eacute; Bonzel,M0vs4ni4Tuo,false,158,5 400 109 358 51 539,,
2012-01-10,Wim Wenders,PtVA6nKygFs,false,48,216 17 512 466,,Wim mentions <cite>Le petit soldat</cite>&comma; another Godard film&comma; which is not available on Criterion.<br>Wim picks up the Eclipse Series box set <a href=\"https://www.criterion.com/boxsets/720-eclipse-series-21-oshima-s-outlaw-sixties\">Oshima&apos;s Outlaw Sixties</a>. This graph does not currently handle box sets&comma; so I subbed in <cite>In the Realm of the Senses</cite>.
2012-04-12,Philip Kaufman,5sMFHvBEvKI,false,49,4 36 533 261 249 241,,
2012-04-24,Harris Savides,cQFAPBbjsaI,false,null,522 541 339 164 261 374,588,Harris talks in depth on only a couple movies&comma; and one only sees flashes of the covers he is holding. <cite>Solaris</cite>&comma; <cite>Fanny & Alexander</cite> and <cite>Bicycle Thieves</cite> were identified by sight.
2012-08-06,Brothers Quay,y7JQUoUcE20,true,null,437 479 323 480 619,,The brothers specifically mention <a href=\"https://www.criterion.com/films/673-phantom-india\">Phantom India</a>&comma; a movie in the Eclipse box set <a href=\"https://www.criterion.com/boxsets/275-eclipse-series-2-the-documentaries-of-louis-malle\">The Documentaries of Louis Malle</a> - <cite>My Dinner with Andr&eacute;</cite> is in its place. They also take the two Aki Kaurism&auml;ki eclipse box sets; <a href=\"https://www.criterion.com/boxsets/564-eclipse-series-12-aki-kaurism-ki-s-proletariat-trilogy\">Proletariat Trilogy</a>&comma; <a href=\"https://www.criterion.com/boxsets/835-eclipse-series-29-aki-kaurism-ki-s-leningrad-cowboys\">Leningrad Cowboys</a>.
2012-09-28,Jack Garfein,LhDI8R0Mskg,false,101,250 241 321 124 603,,<cite>Virgin Spring</cite> is here in place of <a href=\"https://www.criterion.com/boxsets/576-ingmar-bergman-four-masterworks\">Ingmar Bergman: Four Masterworks</a>.
2013-01-14,Guillermo del Toro,49Al7eYy6sg,false,82,5 44 48 57 533 536 537 483,538,
2013-01-30,James Acheson,-3Q3AQ4W9Wk,false,null,166 374 235,,
2013-05-09,Alec Baldwin,aRQ4DRUIJBc,false,null,657 631 537,,
2013-07-19,Nicolas Winding Refn,WMfI1AVAF_8,false,null,397 624 566 654 660 647,507 563 565,
2013-10-04,Alfonso Cuar&oacute;n and Pawel Pawlikowski,BGvcB42YnM8,true,88,512 503 145 578 670 308 321 414 417 307,,They pick up <a href=\"https://www.criterion.com/boxsets/75-eclipse-series-11-larisa-shepitko\">Eclipse Series 11: Larisa Shepitko</a>&comma; which is a box set.
2014-07-08,Bong Joon Ho,qBgZQCkUp7E,false,null,697 217 190 48 29 466 639 666 658 654,36 423,Replaced Oshima&apos;s 60s with <cite>In the Realm of the Senses</cite>.
2014-08-04,Richard Ayoade,yNWUQWSFeQ8,false,null,612 619,89 71 570 701 581,
2014-09-26,Slavoj &Zcaron;i&zcaron;ek,OqpxT_iJ8Mc,false,null,107 555 29 328 761 426 31 456 680 124 723 542,287 86,Slavoj talks about <cite>The Joke</cite>&comma; which can be found on <a href=\"https://www.criterion.com/boxsets/870-eclipse-series-32-pearls-of-the-czech-new-wave\">Pearls of the Czech New Wave</a> - <cite>Valerie and Her Week of Wonders</cite> is in its place. He also takes <a href=\"https://www.criterion.com/boxsets/582-eclipse-series-14-rossellini-s-history-films-renaissance-and-enlightenment\">Rossellini&apos;s History Films</a> - <cite>The Taking of Power by Louis XIV</cite> is in its place. He also mentions <cite>Fitzcarraldo</cite>&comma; <cite>Aguirre&comma; the Wrath of God</cite> and <cite>The Magnificent Ambersons</cite>&comma; which are not on Criterion.
2014-10-03,William Friedkin,63VRJQYcNn0,false,null,214 383 140,629 254 437 314 201 30,
2014-10-17,Volker Schl&ouml;ndorff,Egip8AX68EI,false,94,278 724,279 192 580 619 324 396 389,
2014-12-16,Mike Leigh,f31TXhdC-Ps,false,77,,374 512 711 331 710 145 411 281 286,
2015-01-22,Ruben &Ouml;stlund,0Z2UYLTsPwY,false,null,721 374 261,740 332 102 259,<a href=\"https://youtu.be/ee925OTFBCA\">Worst Man Cry Ever</a>&comma; <a href=\"https://youtu.be/y-nkUnAcZtA\">Idiot Spanish Busdriver Almost Kills Students</a>&comma; <a href=\"https://youtu.be/LU8DDYz68kM\">Battle At Kruger</a>&comma; <a href=\"https://youtu.be/jhv9HJaA67c\">Taxi Driver Interview</a>.
2015-03-04,Edgar Wright,M99gL8IBMZw,false,null,260 423 190 745,,Edgar mentions Wes Anderson&apos;s Criterion movies&comma; but says he has them all.
2015-06-10,Andr&eacute; Gregory and Wallace Shawn,xjMy2RSgBAo,true,null,635 278 625 173,522 599,Andr&eacute; mentions the box set <a href=\"https://www.criterion.com/boxsets/1110-andr-gregory-wallace-shawn-3-films\">Andr&eacute; Gregory & Wallace Shawn: 3 Films</a> he is in. Wallace cites Claude Chabrol&comma; who is on Criterion.
2015-06-23,Michael Cera,5CODR5TU8RM,false,null,84 519 738,229,Michael mentions <cite>I Was Born&comma; But...</cite>&comma; which appears on the box set <a href=\"https://www.criterion.com/boxsets/532-eclipse-series-10-silent-ozu-three-family-comedies\">Silent Ozu -- Three Family Comedies</a>. He also mentions the Allan King box set <a href=\"https://www.criterion.com/boxsets/752-eclipse-series-24-the-actuality-dramas-of-allan-king\">The Actuality Dramas of Allan King</a>.
2015-07-07,The Wolfpack,edCT-dyYA0s,true,null,484 17 562 638 65 30 82 519 216 630 575 480,,Wow&comma; these guys took a LOT of movies. Unfortunately&comma; it&apos;s hard to identify most of them.
2015-09-15,Patrick Brice,D1r8aWfOXcI,false,null,521 490 723 691 724 501 450,,
2015-10-22,Laurie Anderson,Kc9_lqHmNsg,false,117,537 592 455 629 631 676 275,741 624,Laurie mentions the box set <a href=\"https://www.criterion.com/boxsets/1110-andr-gregory-wallace-shawn-3-films\">Andr&eacute; Gregory & Wallace Shawn: 3 Films</a>.
2015-11-05,Gaspar No&eacute;,U_2R7T4-78E,false,null,667 471 706 739 760 728 589 415 17 433 432,653 352,At the beginning Gaspar is holding an Eclipse Series&comma; <a href=\"https://www.criterion.com/boxsets/928-eclipse-series-37-when-horror-came-to-shochiku\">When Horror Came to Shochiku</a>.
2015-12-07,Sean Baker,lCv5MnpDqYc,false,null,676 307 659 654 561 576 339 458 625 342,787,Sean takes the Eclipse series box set <a href=\"https://www.criterion.com/boxsets/691-eclipse-series-19-chantal-akerman-in-the-seventies\">Chantal Akerman in the Seventies</a>. He specifies <a href=\"https://www.criterion.com/films/793-claire-s-knee\">Claire&apos;s Knee</a> as a particularly affecting movie in the Eric Rohmer collection <cite>Six Moral Tales</cite>.
2015-12-23,Andrew Haigh and Charlotte Rampling,F3-hyGZuyqk,true,173,59 775 662 672 391 397 162 631 748 93 629,488 635 477 701,
2016-02-25,Asif Kapadia,fIj80K2AGnY,false,null,460 772 147 17 745 232 133 682 780 781 596 253 339 14 561 493,97,Asif picks up the <a href=\"https://www.criterion.com/boxsets/40-the-samurai-trilogy\">Samurai Trilogy</a>&comma; which is represented by the first movie <cite>Samurai I: Musashi Miyamoto</cite>.
2016-04-15,Joachim Trier,qF3qYnnuGxI,false,null,432 724 24 797 387 579 713 539 560 164 636 342,,Joachim picks up <a href=\"https://www.criterion.com/boxsets/1165-the-emigrants-the-new-land\">The Emirgrants/The New Land</a>&comma; which is represented here by the first movie <cite>The Emigrants</cite>. He exclaims something in German&comma; and I can&apos;t identify what movie he is referring to.
2016-04-22,Chris Eigeman,3ubQAunfwdo,false,null,724 5 133 248 475 523 171,336 224,
2016-05-13,Anna Karina,uZvRtwCQs44,false,null,238 481 421 799,73,
2016-05-14,Yorgos Lanthimos and Ariane Labed,3QAY9OY-ho4,true,null,198 591 122 307 165 306 546 660 38 726 314 297,332,
2016-08-10,Ira Sachs,FA4mnGD5Qi8,false,null,729 84 228 457 669 663 19 724 71 595,254 749,Ira mentions <cite>I Was Born&comma; But...</cite>&comma; which appears on the box set <a href=\"https://www.criterion.com/boxsets/532-eclipse-series-10-silent-ozu-three-family-comedies\">Silent Ozu -- Three Family Comedies</a>.
2016-08-31,Louis Garrel,c2Xf_iXTjXg,false,null,655 729 701 672 144 353 281 4 454,614 139 229,Louis mentions the Eclipse Series box set <a href=\"https://www.criterion.com/boxsets/855-eclipse-series-31-three-popular-films-by-jean-pierre-gorin\">Three Popular Films by Jean-Pierre Gorin</a>.
2016-09-09,Laura Albert and Jeff Feuerzeig,5sDoDOWAflY,true,null,65 654 568 471 277 647 757,,
2016-10-17,Tim Robbins,Ylv_adLFI9M,false,null,425 387 683 555 19 479 491,,Tim mentions the Allan King box set <a href=\"https://www.criterion.com/boxsets/752-eclipse-series-24-the-actuality-dramas-of-allan-king\">The Actuality Dramas of Allan King</a>.
2016-12-02,Owen Kline,zrllJjiEYg8,false,null,96 533 734 154 314 495 538 18,,Owen mentions the Eclipse Series box set <a href=\"https://www.criterion.com/boxsets/887-eclipse-series-33-up-all-night-with-robert-downey-sr\">Up All Night with Robert Downey Sr.</a>.
2017-01-24,Barry Jenkins,R7HLpe65fHY,false,null,261 782 622 250 837 381 834 259 489 162 152 138 408 276 713 729,,
2017-03-09,Phil Rosenthal,fkS1CpXhv9c,false,null,665 516 696 821 382 118 727 647,505,
2017-04-04,Amy Heckerling,jsmRYmwB_HU,false,null,246 220 217 30 396 680 140 663,,
2017-05-03,Ben Wheatley,vago4fXtJvw,false,null,154 414 660 42 2 679 667 555 533 869 748,123,
2017-05-24,Mat&iacute;as Pi&ntilde;eiro,fZB0eT4ayzY,false,null,241 743 672 746 670 342 578,,
2017-06-12,Barry Levinson,cqr3e6m8DGY,false,null,281 786 105 844 251 830,,
2017-07-17,Aubrey Plaza and Jeff Baena,b78bW2EoXeM,true,null,103 54 864 410 229 845 739 230 769 680 829 630 872 720 812 676 738,608,Jeff holds the box set <a href=\"https://www.criterion.com/boxsets/769-america-lost-and-found-the-bbs-story\">America Lost and Found: the BBS Story</a>.
2017-08-23,Alicia Malone,7QT96iMk0Kw,false,null,773 725 221 790 635 795 849 10,,
2017-09-11,Josh and Benny Safdie,jSdxbBsShak,true,null,890 650 767 851 374 10 799 812 194 697 886 721,595 834,<Josh> looks for the Eclipse Series box set <a href=\"https://www.criterion.com/boxsets/907-eclipse-series-35-i-maidstone-i-and-other-films-by-norman-mailer\"><cite>Maidstone</cite> and Other Films by Norman Mailer</a>.
2017-10-04,Agn&egrave;s Varda,s7Jx0Pjq_kQ,false,153,301 356 45 620 174 597 204,,
2017-11-13,Isabelle Huppert,rcBivDDUMTM,false,null,208 897 200 275 651 149 829 868 455 303 655,,
2017-12-06,Alexander Payne,vMypwNZ2JBI,false,220,17 396 230 98 444 609 889 778,788 159 840,
2018-01-18,Flying Lotus,MAysUV9xN6c,false,null,51 65 63 842 308 259 825 787 888 700,17 220,
2018-02-13,Lee Unkrich,WnO5_ZfUDoM,false,null,587 374 144 800 843 301 667 724,,
2018-03-22,Ethan Hawke and Jonathan Marc Sherman,ETrJUaoa1Zc,true,null,48 738 773 869 411 396 501 118 856 844 546 539 713,185,
2018-05-16,Tavi Gevinson,6hSwRskOwdU,false,null,140 904 770 851 326 807 761 406 552 776,485,Tavi takes the Eclipse Series box set <a href=\"https://www.criterion.com/boxsets/691-eclipse-series-19-chantal-akerman-in-the-seventies\">Chantal Akerman in the Seventies</a>.
2018-07-11,Cristian Mungiu,8gxFRWp4gVU,false,224,543 837 374 834 545,,
2018-08-08,Claire Denis,60ANFzjSnLo,false,151,124 275 298 849 614,,
2018-09-18,Lucrecia Martel,iwhenYVvCVE,false,188,3 2 4 6 721 37 260 833 220 63 44,5 17,
2018-10-31,M.I.A. and Stephen Loveridge,08UA7zgLanc,true,null,307 561 449 871 651,,
2019-02-13,That One Time Five Comics Raided Our Closet,d7zuU2a_Tt4,true,null,729 84 52 681 100 629 950 630 909 838 533 951 956 481 165 938 221 720,,
2019-03-15,Richard E. Grant,OpuQ4-CCct4,false,null,680 683 82 101 219 234 800 769 768 281 950,,
2019-04-25,Euzhan Palcy,L5P4n_sxkA0,false,null,551 666 838 5 811 3 48,,Euzhan picks up the box set <a href=\"https://www.criterion.com/boxsets/1209-trilog-a-de-guillermo-del-toro\">Trilog&iacute;a de Guillermo del Toro</a>. It has been substituted with the three movies it contains. We see her holding <a href=\"https://www.criterion.com/boxsets/558-john-cassavetes-five-films\">John Cassavetes: Five Films</a> and <a href=\"https://www.criterion.com/films/28032-love-streams\">Love Streams</a> but she doesn&apos;t mention them.
2019-05-10,Terry Gilliam,926c1196Pnk,false,3,52 729 115 140 538,51 769,Terry takes the box set <a href=\"https://www.criterion.com/boxsets/1427-ingmar-bergman-s-cinema\">Ingmar Bergman&apos;s Cinema</a>.
